epoch,accuracy,loss,val_accuracy,val_loss
0,0.3581511080265045,1.3335505723953247,0.4380403459072113,1.2869737148284912
1,0.6501522064208984,0.9883213639259338,0.6426513195037842,0.959499716758728
2,0.792969822883606,0.5823683738708496,0.680115282535553,0.8074814081192017
3,0.8502629399299622,0.4145629405975342,0.6772334575653076,0.8453958630561829
4,0.8928868174552917,0.3180387020111084,0.6772334575653076,0.8515337705612183
5,0.9186272025108337,0.2577753961086273,0.6541786789894104,0.9276683926582336
6,0.9330196380615234,0.2133888602256775,0.6974063515663147,0.946009635925293
7,0.9435372352600098,0.17549169063568115,0.6599423885345459,1.03127121925354
8,0.9551619291305542,0.1489640176296234,0.6743515729904175,1.1012849807739258
9,0.9595903754234314,0.13086554408073425,0.6657060384750366,1.1298424005508423
10,0.9676169157028198,0.11020590364933014,0.6657060384750366,1.1856590509414673
11,0.9681705236434937,0.11042042821645737,0.6426513195037842,1.2103972434997559
12,0.9712150692939758,0.09733685106039047,0.6599423885345459,1.2285007238388062
13,0.9709382653236389,0.09183356910943985,0.6657060384750366,1.257064700126648
14,0.9739828109741211,0.08470742404460907,0.651296854019165,1.3870370388031006
15,0.975089967250824,0.07957429438829422,0.651296854019165,1.4078290462493896
16,0.977027416229248,0.07495096325874329,0.6541786789894104,1.3589093685150146
17,0.977027416229248,0.07377603650093079,0.6570605039596558,1.4365434646606445
18,0.977027416229248,0.07159769535064697,0.6599423885345459,1.4334297180175781
19,0.9759202599525452,0.06559573113918304,0.6455331444740295,1.462896466255188
20,0.9784113168716431,0.06573434174060822,0.6628242135047913,1.5136094093322754
21,0.9786880612373352,0.06341350823640823,0.6455331444740295,1.5507405996322632
22,0.9761970639228821,0.06395576149225235,0.6484149694442749,1.5699985027313232
23,0.9797951579093933,0.060045670717954636,0.6628242135047913,1.55256986618042
24,0.9775809645652771,0.058971770107746124,0.651296854019165,1.6360385417938232
